Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column35
http://allrecipes.com/recipe/raw-hummus/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/68/13/681355.jpg,Raw Hummus,67,"paprika,garlic,lemon juice,salt,tahini,bean",20,3.3g,10.8g,3.3g,1.6g,1.8g,0.2g,93.9mg,5,801.5,40,8.234560199625701,26.94946974422957,8.234560199625701,3.992514036,4.491578290704928,0.4990642545227698,234.31066749844044,0.238506,0.5951490954460388,699.9765439800375,A,6,Labels_MMCIS/Snack-11-Raw Hummus.jpeg,4.227272727272728,22,images/good_images/Snack-11-Raw Hummus-good.jpg,images/bad_images/Snack-11-Raw Hummus-bad.jpg,,./attractive_snacks/Raw Hummus.jpg
http://allrecipes.com/recipe/buffalo-chicken-stuffed-shells/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/01/13/22/1132257.jpg,Buffalo Chicken Stuffed Shells,698,"butter,cayenne pepper,ricotta cheese,pasta shell,cheese,salt,black pepper,chicken",6,44.4g,62.8g,2.5g,2.7g,29g,18.2g,1452.5mg,5,1870.928,312,14.238923144022642,20.13973814064464,0.8017411680192931,0.8658804614608366,9.300197549,5.836675703180452,465.8116186192093,3.68935,1.1831615112927911,937.1989942958788,D,8,Labels_MMCIS/Snack-15-Buffalo Chicken Stuffed Shells.jpeg,4.6,5,images/good_images/Snack-15-Buffalo Chicken Stuffed Shells-good.jpg,images/bad_images/Snack-15-Buffalo Chicken Stuffed Shells-bad.jpg,,./attractive_snacks/Buffalo Chicken Stuffed Shells.jpg
http://allrecipes.com/recipe/egg-roll-reuben-wraps/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/02/22/88/2228849.jpg,Egg Roll Reuben Wraps,286,"egg,sauerkraut,beef,Gruyere cheese,olive oil",10,12.1g,26.5g,1g,0.2g,14.5g,3.9g,645.1mg,5,1971.2,197,6.138392857142857,13.443587662337665,0.5073051948051948,0.1014610389610389,7.355925324675325,1.97849026,327.2625811688312,1.638554,0.831246956,607.4598214285714,B,7,Labels_MMCIS/Snack-19-Egg Roll Reuben Wraps.jpeg,0,0,images/good_images/Snack-19-Egg Roll Reuben Wraps-good.jpg,images/bad_images/Snack-19-Egg Roll Reuben Wraps-bad.jpg,,./attractive_snacks/Egg Roll Reuben Wraps.jpg
http://allrecipes.com/recipe/enchilada-meatballs/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/81/17/811709.jpg,Enchilada Meatballs,398,"beef,salt,enchilada sauce,tomato sauce,Mexican cheese,cornbread",6,21.2g,15.4g,1.9g,3.4g,28.1g,14g,811.6mg,5,1555,259,8.180064309,5.942122186495177,0.7331189710610931,1.3118971061093243,10.84244372990354,5.401929260450161,313.1575562700965,2.061464,0.795420193,642.9632411575562,C,8,Labels_MMCIS/Snack-20-Enchilada Meatballs.jpeg,4.24,50,images/good_images/Snack-20-Enchilada Meatballs-good.jpg,images/bad_images/Snack-20-Enchilada Meatballs-bad.jpg,,./attractive_snacks/Enchilada Meatballs.jpg
http://allrecipes.com/recipe/pork-dumplings/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/70/48/704866.jpg,Pork Dumplings,752,"cabbage,egg,sesame oil,soy sauce,green onion,garlic,ginger,pork",10,39.2g,81.1g,3.4g,1.2g,28.8g,8.7g,1448.8mg,5,2158.9,216,18.15739496966048,37.56542683774145,1.5748760943072864,0.5558386215202187,13.34012691648525,4.0298300060215855,671.0824957154107,3.679952,1.704549539117143,1458.3693547640005,D,8,Labels_MMCIS/Snack-26-Pork Dumplings.jpeg,4.612903225806452,62,images/good_images/Snack-26-Pork Dumplings-good.jpg,images/bad_images/Snack-26-Pork Dumplings-bad.jpg,,./attractive_snacks/Pork Dumplings.jpg
http://allrecipes.com/recipe/beef-and-salsa-dip/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/99/74/997481.jpg,Beef and Salsa Dip,338,"lettuce,salsa,sour cream,beef,Cheddar cheese",7,21.3g,7g,1.5g,2.9g,25.3g,14.1g,643.8mg,5,1625.7,232,9.171433843882635,3.014086239773636,0.6458756228086363,1.2486928707633635,10.893768838038998,6.071230854401181,277.20981730946664,1.635252,0.7041129359660454,609.3355969736114,C,8,Labels_MMCIS/Snack-34-Beef and Salsa Dip.jpeg,4,3,images/good_images/Snack-34-Beef and Salsa Dip-good.jpg,images/bad_images/Snack-34-Beef and Salsa Dip-bad.jpg,,./attractive_snacks/Beef and Salsa Dip.jpg
http://allrecipes.com/recipe/beef-and-sausage-fried-wontons/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/99/77/997794.jpg,Beef and Sausage Fried Wontons,338,"chili sauce,sausage,beef,garlic,green onion,salt,pepper,egg,vegetable oil",12,16.6g,27.6g,1.1g,3.8g,17.5g,5g,608.7mg,5,2225.361667,185,8.951353973331472,14.882974076141489,0.5931620102810011,2.0491051264252764,9.436668345379564,2.6961909558227326,328.23428696185954,1.546098,0.8337150888831231,763.0966710634905,B,7,Labels_MMCIS/Snack-35-Beef and Sausage Fried Wontons.jpeg,4,1,images/good_images/Snack-35-Beef and Sausage Fried Wontons-good.jpg,images/bad_images/Snack-35-Beef and Sausage Fried Wontons-bad.jpg,,./attractive_snacks/Beef and Sausage Fried Wontons.jpg
http://allrecipes.com/recipe/easy-fava-bean-salad/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/01/13/06/1130647.jpg,Easy Fava Bean Salad,274,"bean,lemon juice,tomato,onion,garlic,salt,olive oil,parsley",2,10.8g,41.2g,9.6g,4g,7.7g,1g,3043mg,4,687.825,344,3.140333660451423,11.979791371351723,2.7914076981790426,1.1630865409079345,2.238941591247773,0.2907716352269835,884.818086,7.729220000000001,2.247437938429106,333.5683349689237,B,6,Labels_MMCIS/Snack-42-Easy Fava Bean Salad.jpeg,4,1,images/good_images/Snack-42-Easy Fava Bean Salad-good.jpg,images/bad_images/Snack-42-Easy Fava Bean Salad-bad.jpg,,./attractive_snacks/Easy Fava Bean Salad.jpg
http://allrecipes.com/recipe/matzo-brei/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/81/99/819957.jpg,Matzo Brei,222,"cracker,egg,salt,pepper,vegetable oil",1,9.3g,24.4g,0g,1.4g,9.6g,2.1g,70mg,5,82.583333,83,11.261352214980231,29.545913338227702,0,1.695257322685196,11.624621641269917,2.5428859840277944,84.76286613425982,0.1778,0.2152976799810199,1125.492961152343,B,6,Labels_MMCIS/Snack-48-Matzo Brei.jpeg,4.090909090909091,11,images/good_images/Snack-48-Matzo Brei-good.jpg,images/bad_images/Snack-48-Matzo Brei-bad.jpg,,./attractive_snacks/Matzo Brei.jpg
http://allrecipes.com/recipe/prawns-of-passion/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/77/43/774393.jpg,Prawns of Passion,523,"tomato,parsley,garlic,shrimp,butter,garlic",6,33.1g,24g,3g,0.2g,33.7g,19.5g,395mg,5,2046,341,9.706744868035193,7.038123167155425,0.8797653958944281,0.058651026,9.882697947214076,5.718475073313783,115.8357771260997,1.0033,0.2942228739002933,642.1397067,B,7,Labels_MMCIS/Snack-51-Prawns of Passion.jpeg,5,3,images/good_images/Snack-51-Prawns of Passion-good.jpg,images/bad_images/Snack-51-Prawns of Passion-bad.jpg,,./attractive_snacks/Prawns of Passion.jpg
http://allrecipes.com/recipe/spicy-ginger-chicken-wings/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/87/22/872292.jpg,Spicy Ginger Chicken Wings,539,"egg,flour,margarine,vinegar,soy sauce,sugar,salt,chicken,ginger,sesame seed,chile pepper",8,15.4g,41.8g,0.9g,27.3g,34.4g,7.1g,868.2mg,5,2296.3371,287,5.365065956561866,14.562321882096494,0.3135428156432259,9.510798741177853,11.984303175696637,2.4735044345187824,302.4643028,2.2052280000000004,0.7682593291725334,786.1860351426627,C,8,Labels_MMCIS/Snack-56-Spicy Ginger Chicken Wings.jpeg,4.714285714285714,7,images/good_images/Snack-56-Spicy Ginger Chicken Wings-good.jpg,images/bad_images/Snack-56-Spicy Ginger Chicken Wings-bad.jpg,,./attractive_snacks/Spicy Ginger Chicken Wings.jpg
http://allrecipes.com/recipe/stack-of-onion-rings/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/02/21/70/2217064.jpg,Stack of Onion Rings,448,"onion,bread,cream,egg,flour,olive oil",8,9.7g,46.4g,3.4g,5.1g,25.2g,9.1g,582.5mg,5,2247.196429,281,3.453191674682925,16.51836017580286,1.2103970818476233,1.8155956227714347,8.971178371341209,3.239592189650992,207.36950005183547,1.47955,0.5267185301316621,667.7427485356687,B,7,Labels_MMCIS/Snack-57-Stack of Onion Rings.jpeg,4,6,images/good_images/Snack-57-Stack of Onion Rings-good.jpg,images/bad_images/Snack-57-Stack of Onion Rings-bad.jpg,,./attractive_snacks/Stack of Onion Rings.jpg
http://allrecipes.com/recipe/turkey-nacho-bake/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/22/86/228629.jpg,Turkey Nacho Bake,717,"tomato,tortilla chip,black pepper,garlic,turkey,red pepper,chive,sauce,taco seasoning,bean,Cheddar cheese,olive,green onion",6,32.8g,64.2g,9.3g,3.5g,37.7g,12.2g,1423.9mg,5,2037.965,340,9.656691847014056,18.90120782250922,2.738025432232644,1.0304396787972314,11.09930739733018,3.5918183089503493,419.2123024683938,3.6167060000000006,1.0647992482697202,883.8038729811354,B,7,Labels_MMCIS/Snack-59-Turkey Nacho Bake.jpeg,4.5,12,images/good_images/Snack-59-Turkey Nacho Bake-good.jpg,images/bad_images/Snack-59-Turkey Nacho Bake-bad.jpg,,./attractive_snacks/Turkey Nacho Bake.jpg
http://allrecipes.com/recipe/no-fuss-falafel/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/01/00/32/1003239.jpg,No-Fuss Falafel,203,"bean,parsley,onion,flour,garlic,cumin,coriander,salt,lemon juice,vegetable oil,black pepper",4,5.1g,25.4g,4.3g,0.8g,9.5g,1.2g,630.7mg,5,763.687225,191,2.671250655004737,13.303875811200063,2.2522309444157584,0.4190197105889783,4.975859063244118,0.6285295658834675,330.34466433558583,1.601978,0.8390754474123879,445.1667500395859,A,6,Labels_MMCIS/Snack-69-No-Fuss Falafel.jpeg,0,0,images/good_images/Snack-69-No-Fuss Falafel-good.jpg,images/bad_images/Snack-69-No-Fuss Falafel-bad.jpg,,./attractive_snacks/No-Fuss Falafel.jpg
http://allrecipes.com/recipe/quick-zucchini-chips/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/01/99/09/1990905.jpg,Quick Zucchini Chips,78,"olive oil,paprika,,black pepper,salt,zucchini",2,1.3g,3.9g,1.4g,1.8g,7g,1g,890.3mg,5,217,108,1.1981566820276497,3.5944700460829493,1.2903225806451613,1.6589861751152073,6.451612903225806,0.9216589861751152,820.5529953917052,2.261362,2.084204608294931,300.98654377880183,C,7,Labels_MMCIS/Snack-72-Quick Zucchini Chips.jpeg,1,3,images/good_images/Snack-72-Quick Zucchini Chips-good.jpg,images/bad_images/Snack-72-Quick Zucchini Chips-bad.jpg,,./attractive_snacks/Quick Zucchini Chips.jpg
http://allrecipes.com/recipe/won-ton-snacks/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/65/44/654433.jpg,Won Ton Snacks,86,"carrot,peanut sauce,pork,celery,garlic,onion,chestnut",48,4.4g,6.1g,0.5g,0.3g,4.8g,1.6g,66.9mg,5,1922,40,10.988553590010406,15.234131113423516,1.2486992715920917,0.7492195629552548,11.987513007284075,3.995837669094693,167.07596253902184,0.169926,0.4243729448491155,899.2253069719042,C,7,Labels_MMCIS/Snack-77-Won Ton Snacks.jpeg,4.56,25,images/good_images/Snack-77-Won Ton Snacks-good.jpg,images/bad_images/Snack-77-Won Ton Snacks-bad.jpg,,./attractive_snacks/Won Ton Snacks.jpg
http://allrecipes.com/recipe/bacon-wrapped-water-chestnuts-ii/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/75/29/752987.jpg,Bacon Wrapped Water Chestnuts II,116,"chili sauce,mayonnaise,sugar,chestnut,bacon",16,3.8g,8.5g,0.7g,5.2g,7.5g,1.8g,244.7mg,5,1093.99999,68,5.557586888094944,12.431444354949218,1.0237660057017002,7.605118899498344,10.968921489661074,2.632541157518657,357.8793451360086,0.621538,0.909013537,710.3017249570541,C,8,Labels_MMCIS/Snack-79-Bacon Wrapped Water Chestnuts II.jpeg,4.704918032786885,61,images/good_images/Snack-79-Bacon Wrapped Water Chestnuts II-good.jpg,images/bad_images/Snack-79-Bacon Wrapped Water Chestnuts II-bad.jpg,,./attractive_snacks/Bacon Wrapped Water Chestnuts II.jpg
http://allrecipes.com/recipe/chicken-won-tons/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/88/22/882243.jpg,Chicken Won Tons,178,chicken,12,12.5g,18.9g,0.6g,0g,5.2g,1.4g,212.2mg,5,846,70,17.73049645390071,26.80851063829787,0.8510638297872339,0,7.375886524822696,1.9858156028368792,300.9929078014185,0.538988,0.7645219858156029,1057.0927659574468,B,7,Labels_MMCIS/Snack-82-Chicken Won Tons.jpeg,4,5,images/good_images/Snack-82-Chicken Won Tons-good.jpg,images/bad_images/Snack-82-Chicken Won Tons-bad.jpg,,./attractive_snacks/Chicken Won Tons.jpg
