Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
http://allrecipes.com/recipe/angels-ravioli-alfredo-with-mushrooms/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/00/45/54/455487.jpg,Angel's Ravioli Alfredo with Mushrooms,516,"butter,onion,Parmesan cheese,garlic,mushroom,ravioli pasta,red pepper",6,17.6g,43.6g,2.3g,4.1g,31.5g,16.3g,1060.7mg,5,1167.35,195,9.046130124,22.40973144,1.182164732,2.107337131,16.19051698,8.377950058,545.1835354,2.694178,1.38476618,1110.406716,D,8,Labels_MMCIS/Pasta-1-Angel^s Ravioli Alfredo with Mushrooms.jpeg,4.7,20,images/good_images/Pasta-1-Angel's Ravioli Alfredo with Mushrooms-good.jpg,images/bad_images/Pasta-1-Angel's Ravioli Alfredo with Mushrooms-bad.jpg
http://allrecipes.com/recipe/baked-penne-with-italian-sausage/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/00/00/33/3304.jpg,Baked Penne with Italian Sausage,664,"sausage,onion,wine,tomato sauce,tomato,garlic,mozzarella cheese,olive oil,penne pasta",6,31g,59.2g,5.1g,13.7g,33.5g,12.9g,1714.1mg,5,2317.276918,386,8.026662612,15.32833634,1.320515462,3.547267025,8.673974113,3.340127345,443.8226575,4.353814,1.12730955,719.8195032,C,7,Labels_MMCIS/Pasta-2-Baked Penne with Italian Sausage.jpeg,4.212328767,146,images/good_images/Pasta-2-Baked Penne with Italian Sausage-good.jpg,images/bad_images/Pasta-2-Baked Penne with Italian Sausage-bad.jpg
http://allrecipes.com/recipe/barbecue-lasagna/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/00/68/85/688550.jpg,Barbecue Lasagna,710,"mozzarella cheese,Cheddar cheese,ricotta cheese,egg,pulled pork,lasagna noodles pasta,salt,black pepper",10,54.2g,39.9g,1.8g,2.4g,36.6g,19.9g,1498mg,5,2877.717,288,18.83437461,13.86515769,0.625495836,0.833994448,12.71841533,6.915203962,520.5515344,3.80492,1.322200897,1032.981353,D,8,Labels_MMCIS/Pasta-3-Barbecue Lasagna.jpeg,4.285714286,7,images/good_images/Pasta-3-Barbecue Lasagna-good.jpg,images/bad_images/Pasta-3-Barbecue Lasagna-bad.jpg
http://allrecipes.com/recipe/bellas-mac-and-cheese/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/00/11/17/111759.jpg,Bella's Mac and Cheese,388,"macaroni pasta,American cheese,Cheddar cheese,butter",10,14.6g,34.5g,1.4g,1.3g,21.5g,12.7g,420.8mg,6,928.7,93,15.72090018,37.14870249,1.507483579,1.399806181,23.15064068,13.67502961,453.1064929,1.068832,1.150890492,1749.196081,E,9,Labels_MMCIS/Pasta-4-Bella^s Mac and Cheese.jpeg,3.6,5,images/good_images/Pasta-4-Bella's Mac and Cheese-good.jpg,images/bad_images/Pasta-4-Bella's Mac and Cheese-bad.jpg
http://allrecipes.com/recipe/chicken-and-bow-tie-pasta/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/00/74/15/741573.jpg,Chicken and Bow Tie Pasta,894,"chicken,farfalle pasta,chicken broth,broccoli,pepper,garlic,salt,pepper,onion,Parmesan cheese",4,47g,76.3g,5.4g,13.1g,41.6g,27g,1721.9mg,5,2094.0588,524,8.977780376,14.57456687,1.03148966,2.502317509,7.946290715,5.157448301,328.91149,4.373626,0.835435185,714.974995,C,8,Labels_MMCIS/Pasta-5-Chicken and Bow Tie Pasta.jpeg,4.144444444,90,images/good_images/Pasta-5-Chicken and Bow Tie Pasta-good.jpg,images/bad_images/Pasta-5-Chicken and Bow Tie Pasta-bad.jpg
http://allrecipes.com/recipe/fresh-spinach-and-sun-dried-tomato-lasagna/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/00/91/68/916824.jpg,Fresh Spinach and Sun-Dried Tomato Lasagna,655,"carrot,Parmesan cheese,tomato,thyme,salt,black pepper,flour, cream,nutmeg,spinach,olive oil,lasagna noodles pasta,tomato,wine,garlic,mushroom,celery,onion",8,17g,56.6g,4.6g,6.7g,40.1g,23g,390.9mg,5,3016.961453,377,4.50784679,15.00847813,1.219770308,1.77662197,10.63321507,6.098851539,103.6539594,0.992886,0.263281057,727.1830397,C,7,Labels_MMCIS/Pasta-6-Fresh Spinach and Sun-Dried Tomato Lasagna.jpeg,4.785714286,14,images/good_images/Pasta-6-Fresh Spinach and Sun-Dried Tomato Lasagna-good.jpg,images/bad_images/Pasta-6-Fresh Spinach and Sun-Dried Tomato Lasagna-bad.jpg
http://allrecipes.com/recipe/jims-macaroni-salad/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/00/07/57/75707.jpg,Jim's Macaroni Salad,488,"pickle,pepper,American cheese,olives,egg,salt,black pepper,pepper,white onion,mayonnaise,vinegar,macaroni pasta",9,13.6g,43.3g,2.8g,3.7g,29.1g,7.2g,749.9mg,5,1560.3375,173,7.844456728,24.97536591,1.615035209,2.134153669,16.78483021,4.15294768,432.5410368,1.904746,1.098654233,1178.490269,C,7,Labels_MMCIS/Pasta-7-Jim^s Macaroni Salad.jpeg,4.25,24,images/good_images/Pasta-7-Jim's Macaroni Salad-good.jpg,images/bad_images/Pasta-7-Jim's Macaroni Salad-bad.jpg
http://allrecipes.com/recipe/microwave-macaroni-and-cheese/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/02/25/17/2251727.jpg,Microwave Macaroni and Cheese,659,"macaroni pasta,butter,onion,cheese,milk,salt,black pepper",4,31.2g,54g,1.9g,3.9g,35.2g,21.8g,1158.7mg,5,914,228,13.65426696,23.63238512,0.831509847,1.70678337,15.404814,9.5404814,507.0897155,2.943098,1.288007877,1207.484114,D,8,Labels_MMCIS/Pasta-8-Microwave Macaroni and Cheese.jpeg,4.1,10,images/good_images/Pasta-8-Microwave Macaroni and Cheese-good.jpg,images/bad_images/Pasta-8-Microwave Macaroni and Cheese-bad.jpg
http://allrecipes.com/recipe/nicks-pepper-sauce-sauce-au-poivre/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/01/11/44/1114451.jpg,Nick's Pepper Sauce (Sauce au Poivre),249,"butter,parsley,black pepper,salt,cognac,beef,creme fraiche,shallot",6,2g,3.4g,0.6g,1.5g,13.6g,8.5g,279mg,5,793.36667,132,1.512541483,2.571320522,0.453762445,1.134406113,10.28528209,6.428301305,210.9995369,0.70866,0.535938824,788.422231,C,8,Labels_MMCIS/Pasta-9-Nick^s Pepper Sauce (Sauce au Poivre).jpeg,0,0,images/good_images/Pasta-9-Nick's Pepper Sauce (Sauce au Poivre)-good.jpg,images/bad_images/Pasta-9-Nick's Pepper Sauce (Sauce au Poivre)-bad.jpg
http://allrecipes.com/recipe/pasta-salad-ii/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/00/64/65/646581.jpg,Pasta Salad II,446,"rotini pasta,Monterey Jack cheese,olives,cucumber",8,15g,45.6g,3.1g,3.9g,23.3g,7.2g,1097.7mg,5,1381.1333,173,8.688516887,26.41309134,1.795626823,2.259014391,13.4961629,4.170488106,635.8256658,2.788158,1.614997191,1081.61192,D,8,Labels_MMCIS/Pasta-10-Pasta Salad II.jpeg,4.333333333,15,images/good_images/Pasta-10-Pasta Salad II-good.jpg,images/bad_images/Pasta-10-Pasta Salad II-bad.jpg
http://allrecipes.com/recipe/pattys-pasta-salad/detail.aspx,Pasta,http://images.media-allrecipes.com/userphotos/250x250/00/66/04/660427.jpg,Patty's Pasta Salad,519,"mozzarella cheese,ham,green onion,pepperoni sausage,tomato,olives,seashell pasta",12,18.6g,50.9g,4.5g,5.8g,27.5g,6.6g,1438.5mg,5,2986.2,249,7.474382158,20.45408881,1.808318264,2.330721318,11.05083384,2.652200121,578.0590717,3.65379,1.468270042,873.1963834,C,7,Labels_MMCIS/Pasta-11-Patty^s Pasta Salad.jpeg,4.444444444,18,images/good_images/Pasta-11-Patty's Pasta Salad-good.jpg,images/bad_images/Pasta-11-Patty's Pasta Salad-bad.jpg
