Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34
http://allrecipes.com/recipe/blt-on-a-stick/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/01/32/84/1328415.jpg,BLT on a Stick,72,"bread,tomato,bacon,lettuce",8,1.4g,7.6g,1.1g,0.8g,0.5g,0.1g,94.7mg,5,356,44,3.146067416,17.07865169,2.471910112,1.797752809,1.123595506,0.224719101,212.8089888,0.240538,0.540534831,677.4148315,B,5,Labels_MMCIS/Snack-1-BLT on a Stick.jpeg,4,1,images/good_images/Snack-1-BLT on a Stick-good.jpg,images/bad_images/Snack-1-BLT on a Stick-bad.jpg
http://allrecipes.com/recipe/grilled-eggplant-rollups/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/02/36/73/2367357.jpg,Grilled Eggplant Rollups,148,"red pepper,cheese,olive oil,salt,eggplant",4,6.7g,3.3g,0.4g,2g,12.1g,6.4g,310mg,5,856.38,214,3.129451879,1.541371821,0.186832948,0.93416474,5.651696677,2.989327168,144.7955347,0.7874,0.367780658,289.4259091,A,7,Labels_MMCIS/Snack-2-Grilled Eggplant Rollups.jpeg,5,1,images/good_images/Snack-2-Grilled Eggplant Rollups-good.jpg,images/bad_images/Snack-2-Grilled Eggplant Rollups-bad.jpg
http://allrecipes.com/recipe/honey-roasted-peanuts/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/40/15/401588.jpg,Honey Roasted Peanuts,239,"sugar,salt,honey,peanut,butter",8,6.8g,21.7g,2.3g,16.6g,15.5g,2.9g,306.5mg,6,496.06667,62,10.9662679,34.9952961,3.709178849,26.77059517,24.99664007,4.676790723,494.2883988,0.77851,1.255492533,1613.726961,D,10,Labels_MMCIS/Snack-3-Honey Roasted Peanuts.jpeg,1,1,images/good_images/Snack-3-Honey Roasted Peanuts-good.jpg,images/bad_images/Snack-3-Honey Roasted Peanuts-bad.jpg
http://allrecipes.com/recipe/horseradish-deviled-eggs/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/01/11/22/1112252.jpg,Horseradish Cream Cheese Deviled Eggs,79,"onion,chili powder,mustard,cumin,horseradish,mayonnaise,cream cheese,egg",6,6.5g,1.1g,0.1g,0.7g,12.3g,2.6g,170.7mg,5,886.180819,148,4.400907711,0.744768997,0.067706272,0.473943907,8.327871515,1.760363085,115.5746071,0.433578,0.293559502,223.9433711,A,6,Labels_MMCIS/Snack-4-Horseradish Cream Cheese Deviled Eggs.jpeg,4.603174603,63,images/good_images/Snack-4-Horseradish Cream Cheese Deviled Eggs-good.jpg,images/bad_images/Snack-4-Horseradish Cream Cheese Deviled Eggs-bad.jpg
http://allrecipes.com/recipe/jerrys-wings/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/78/53/785307.jpg,Jerry's Wings,1047,"pepper sauce,vegetable oil,chicken,butter",4,21.3g,0.7g,0.3g,0g,107.7g,34.1g,332.1mg,6,910.125,228,9.361351463,0.307650048,0.131850021,0,47.3341574,14.98695234,145.9579728,0.843534,0.370733251,1926.583535,D,9,Labels_MMCIS/Snack-5-Jerry^s Wings.jpeg,4.333333333,3,images/good_images/Snack-5-Jerry's Wings-good.jpg,images/bad_images/Snack-5-Jerry's Wings-bad.jpg
http://allrecipes.com/recipe/kens-perfect-hard-boiled-egg-and-i-mean-perfect/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/37/85/378521.jpg,Ken's Perfect Hard Boiled Egg (And I Mean Perfect),72,"salt,vinegar,egg",8,6.3g,0.4g,0g,0.4g,5g,1.5g,947.4mg,4,1900,238,2.652631579,0.168421053,0,0.168421053,2.105263158,0.631578947,398.9052632,2.406396,1.013219368,126.9261474,B,5,Labels_MMCIS/Snack-6-Ken^s Perfect Hard Boiled Egg (And I Mean Perfect).jpeg,4.509090909,220,images/good_images/Snack-6-Ken's Perfect Hard Boiled Egg (And I Mean Perfect)-good.jpg,images/bad_images/Snack-6-Ken's Perfect Hard Boiled Egg (And I Mean Perfect)-bad.jpg
http://allrecipes.com/recipe/olive-spread-snackers/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/00/65/40/654028.jpg,Olive Spread Snackers,62,"olive,onion,garlic,salt,black pepper,thyme,sour cream,mayonnaise,walnut",40,0.8g,1.4g,0.7g,0.2g,6.3g,0.8g,123.6mg,6,732.0003327,18,4.371582713,7.650269747,3.825134873,1.092895678,34.42621386,4.371582713,675.4095291,0.313944,1.715540204,1418.478044,D,9,Labels_MMCIS/Snack-7-Olive Spread Snackers.jpeg,4.75,4,images/good_images/Snack-7-Olive Spread Snackers-good.jpg,images/bad_images/Snack-7-Olive Spread Snackers-bad.jpg
http://allrecipes.com/recipe/pear-pockets/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/01/06/07/1060723.jpg,Pear Pockets,387,"peanut butter,pear,cinnamon,Cheddar cheese",4,11.7g,29g,2.4g,7.7g,25g,7.7g,601.8mg,6,469.566,117,9.966650056,24.70366253,2.044441037,6.559248327,21.2962608,6.559248327,512.64359,1.528572,1.302114719,1380.2461,D,10,Labels_MMCIS/Snack-8-Pear Pockets.jpeg,3.5,2,images/good_images/Snack-8-Pear Pockets-good.jpg,images/bad_images/Snack-8-Pear Pockets-bad.jpg
http://allrecipes.com/recipe/petit-toasts-with-brie-fig-and-thyme/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/02/17/33/2173317.jpg,"Petit Toasts with Brie, Fig, and Thyme",132,"baguette,Brie cheese,fig,almond,balsamic vinegar,thyme",10,6.8g,5.8g,0.7g,0.6g,9.2g,4.2g,194.4mg,6,366.4,37,18.55895197,15.82969432,1.910480349,1.637554585,25.10917031,11.4628821,530.5676856,0.493776,1.347641921,1508.344978,D,9,"Labels_MMCIS/Snack-9-Petit Toasts with Brie, Fig, and Thyme.jpeg",5,2,"images/good_images/Snack-9-Petit Toasts with Brie, Fig, and Thyme-good.jpg","images/bad_images/Snack-9-Petit Toasts with Brie, Fig, and Thyme-bad.jpg"
http://allrecipes.com/recipe/pheasant-sticky-fingers/detail.aspx,Snack,http://images.media-allrecipes.com/userphotos/250x250/01/24/24/1242418.jpg,Pheasant Sticky Fingers,631,"salt,black pepper,honey,wing sauce,butter,pheasant,egg,flour",6,47.2g,50.7g,0.3g,46.5g,27.3g,14.1g,806.9mg,5,1859.4,310,15.23071959,16.36011617,0.096805421,15.00484027,8.80929332,4.549854792,260.3743143,2.049526,0.661350758,852.4913843,C,8,Labels_MMCIS/Snack-10-Pheasant Sticky Fingers.jpeg,0,0,images/good_images/Snack-10-Pheasant Sticky Fingers-good.jpg,images/bad_images/Snack-10-Pheasant Sticky Fingers-bad.jpg
